Date,Open,High,Low,Close,Volume,Returns,Volatility_30
2016-08-15,1338.98,1343.808,1335.7489999999998,1341.038,51.04137,0.0015365577196785958,11.31677064166848
2016-08-16,1341.029,1358.009,1340.529,1347.788,73.64983,0.005020789132265211,11.365326401468174
2016-08-17,1347.7,1352.939,1335.91,1352.178,67.04619,0.003251895667295832,11.350074804722164
2016-08-18,1352.159,1356.049,1346.038,1350.109,69.00009,-0.0015312958277890142,11.340842672384897
2016-08-19,1350.059,1351.158,1337.738,1340.899,61.15071,-0.00684504539630734,10.57449274962736
2016-08-20,1350.059,1351.158,1337.738,1340.899,0.0,0.0,9.69978525376068
2016-08-21,1340.351,1340.811,1334.879,1337.38,5.72329,-0.00262780839860322,9.426329033129488
2016-08-22,1337.379,1340.0300000000002,1331.69,1337.659,82.78675,0.00020859509039809507,9.425766357337553
2016-08-23,1337.659,1344.63,1335.289,1337.908,70.53348,0.0001861287724947411,9.423292440647831
2016-08-24,1337.898,1340.062,1323.369,1325.919,73.39789999999999,-0.00900139607470659,9.667716618088615
2016-08-25,1325.868,1326.959,1318.009,1322.058,57.89034,-0.0029161905380715902,9.690217760513436
2016-08-26,1322.069,1342.161,1318.328,1320.609,72.23187,-0.001096619547760587,8.51927235018562
2016-08-27,1322.069,1342.161,1318.328,1320.609,0.0,0.0,8.493601378142122
2016-08-28,1319.971,1321.358,1318.318,1320.628,2.30688,1.4387198119838838e-05,7.845865682485497
2016-08-29,1320.688,1325.068,1314.8719999999998,1323.748,73.2899,0.002359726035752661,7.8947350046904505
2016-08-30,1323.76,1325.43,1309.229,1312.179,77.38846,-0.008777992930435354,8.238418244333022
2016-08-31,1312.171,1316.088,1304.358,1309.601,74.74742,-0.00196660347616816,8.169805060935774
2016-09-01,1309.601,1315.1090000000002,1302.452,1314.338,70.08153,0.0036106061506368087,7.87959468373314
2016-09-02,1314.348,1330.089,1303.118,1324.6080000000002,72.6143,0.007783449792546416,8.206666129289447
2016-09-03,1314.348,1330.089,1303.118,1324.6080000000002,0.0,0.0,8.134416441082278
2016-09-04,1323.899,1325.0189999999998,1322.508,1322.629,1.79729,-0.0014951440831812224,6.182730783638064
2016-09-05,1322.618,1328.538,1321.759,1327.228,46.36132,0.0034711341915366397,6.2791236308803855
